InstanceType,Region,Quota_vCPUs,Status,Mode
p4d.24xlarge,eu-west-2,8.0,✅ Available,on-demand
p4d.24xlarge,us-east-1,128.0,✅ Available,on-demand
p4d.24xlarge,us-east-2,64.0,✅ Available,on-demand
p4de.24xlarge,us-east-1,128.0,✅ Available,on-demand
g5.16xlarge,us-east-1,1000.0,✅ Available,on-demand
g5.16xlarge,us-west-2,96.0,✅ Available,on-demand
g5.2xlarge,us-east-1,1000.0,✅ Available,on-demand
g5.2xlarge,us-west-2,96.0,✅ Available,on-demand
g5.4xlarge,us-east-1,1000.0,✅ Available,on-demand
g5.4xlarge,us-west-2,96.0,✅ Available,on-demand
g5.8xlarge,us-east-1,1000.0,✅ Available,on-demand
g5.8xlarge,us-west-2,96.0,✅ Available,on-demand
g5.xlarge,us-east-1,1000.0,✅ Available,on-demand
g5.xlarge,us-west-2,96.0,✅ Available,on-demand
g5.12xlarge,us-east-1,1000.0,✅ Available,on-demand
g5.12xlarge,us-west-2,96.0,✅ Available,on-demand
g5.24xlarge,us-east-1,1000.0,✅ Available,on-demand
g5.24xlarge,us-west-2,96.0,✅ Available,on-demand
g5.48xlarge,us-east-1,1000.0,✅ Available,on-demand
g5.48xlarge,us-west-2,96.0,✅ Available,on-demand
dl1.24xlarge,us-east-1,96.0,✅ Available,on-demand
dl1.24xlarge,us-west-2,96.0,✅ Available,on-demand
g4ad.2xlarge,us-east-1,1000.0,✅ Available,on-demand
g4ad.2xlarge,us-west-2,96.0,✅ Available,on-demand
g4ad.4xlarge,us-east-1,1000.0,✅ Available,on-demand
g4ad.4xlarge,us-west-2,96.0,✅ Available,on-demand
g4ad.xlarge,us-east-1,1000.0,✅ Available,on-demand
g4ad.xlarge,us-west-2,96.0,✅ Available,on-demand
g4ad.8xlarge,us-east-1,1000.0,✅ Available,on-demand
g4ad.8xlarge,us-west-2,96.0,✅ Available,on-demand
g4ad.16xlarge,us-east-1,1000.0,✅ Available,on-demand
g4ad.16xlarge,us-west-2,96.0,✅ Available,on-demand
g4dn.16xlarge,us-east-1,1000.0,✅ Available,on-demand
g4dn.16xlarge,us-west-2,96.0,✅ Available,on-demand
g4dn.2xlarge,us-east-1,1000.0,✅ Available,on-demand
g4dn.2xlarge,us-west-2,96.0,✅ Available,on-demand
g4dn.4xlarge,us-east-1,1000.0,✅ Available,on-demand
g4dn.4xlarge,us-west-2,96.0,✅ Available,on-demand
g4dn.8xlarge,us-east-1,1000.0,✅ Available,on-demand
g4dn.8xlarge,us-west-2,96.0,✅ Available,on-demand
g4dn.xlarge,us-east-1,1000.0,✅ Available,on-demand
g4dn.xlarge,us-west-2,96.0,✅ Available,on-demand
g4dn.12xlarge,us-east-1,1000.0,✅ Available,on-demand
g4dn.12xlarge,us-west-2,96.0,✅ Available,on-demand
g4dn.metal,us-east-1,1000.0,✅ Available,on-demand
g4dn.metal,us-west-2,96.0,✅ Available,on-demand
g5g.2xlarge,us-east-1,1000.0,✅ Available,on-demand
g5g.2xlarge,us-west-2,96.0,✅ Available,on-demand
g5g.4xlarge,us-east-1,1000.0,✅ Available,on-demand
g5g.4xlarge,us-west-2,96.0,✅ Available,on-demand
g5g.8xlarge,us-east-1,1000.0,✅ Available,on-demand
g5g.8xlarge,us-west-2,96.0,✅ Available,on-demand
g5g.xlarge,us-east-1,1000.0,✅ Available,on-demand
g5g.xlarge,us-west-2,96.0,✅ Available,on-demand
g5g.16xlarge,us-east-1,1000.0,✅ Available,on-demand
g5g.16xlarge,us-west-2,96.0,✅ Available,on-demand
g5g.metal,us-east-1,1000.0,✅ Available,on-demand
g5g.metal,us-west-2,96.0,✅ Available,on-demand
p3.2xlarge,eu-west-2,8.0,✅ Available,on-demand
p3.2xlarge,us-east-1,128.0,✅ Available,on-demand
p3.2xlarge,us-east-2,64.0,✅ Available,on-demand
p3.8xlarge,eu-west-2,8.0,✅ Available,on-demand
p3.8xlarge,us-east-1,128.0,✅ Available,on-demand
p3.8xlarge,us-east-2,64.0,✅ Available,on-demand
p3.16xlarge,eu-west-2,8.0,✅ Available,on-demand
p3.16xlarge,us-east-1,128.0,✅ Available,on-demand
p3.16xlarge,us-east-2,64.0,✅ Available,on-demand
p3dn.24xlarge,us-east-1,128.0,✅ Available,on-demand
