InstanceType,Family,Region,QuotaCode,Quota_vCPUs,Status,Mode
p4d.24xlarge,p4d,us-east-1,L-7212CCBC,128.0,Available,spot
p4de.24xlarge,p4de,us-east-1,L-7212CCBC,128.0,Available,spot
g5.16xlarge,g5,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g5.16xlarge,g5,us-east-1,L-3819A6DF,256.0,Available,spot
g5.2xlarge,g5,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g5.2xlarge,g5,us-east-1,L-3819A6DF,256.0,Available,spot
g5.4xlarge,g5,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g5.4xlarge,g5,us-east-1,L-3819A6DF,256.0,Available,spot
g5.8xlarge,g5,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g5.8xlarge,g5,us-east-1,L-3819A6DF,256.0,Available,spot
g5.xlarge,g5,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g5.xlarge,g5,us-east-1,L-3819A6DF,256.0,Available,spot
g5.12xlarge,g5,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g5.12xlarge,g5,us-east-1,L-3819A6DF,256.0,Available,spot
g5.24xlarge,g5,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g5.24xlarge,g5,us-east-1,L-3819A6DF,256.0,Available,spot
g5.48xlarge,g5,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g5.48xlarge,g5,us-east-1,L-3819A6DF,256.0,Available,spot
p6-b200.48xlarge,p6-b200,us-east-1,L-7212CCBC,128.0,Available,spot
dl1.24xlarge,dl1,us-east-1,L-85EED4F7,96.0,Available,spot
dl1.24xlarge,dl1,us-west-2,L-85EED4F7,96.0,Available,spot
p5.4xlarge,p5,us-east-1,L-C4BD4855,192.0,Available,spot
p5.48xlarge,p5,us-east-1,L-C4BD4855,192.0,Available,spot
p5en.48xlarge,p5en,us-east-1,L-C4BD4855,192.0,Available,spot
inf1.2xlarge,inf1,ca-central-1,L-B5D1601B,8.0,Available,spot
inf1.2xlarge,inf1,us-east-1,L-B5D1601B,8.0,Available,spot
inf1.2xlarge,inf1,us-east-2,L-B5D1601B,8.0,Available,spot
inf1.2xlarge,inf1,us-west-1,L-B5D1601B,8.0,Available,spot
inf1.2xlarge,inf1,us-west-2,L-B5D1601B,8.0,Available,spot
inf1.xlarge,inf1,ca-central-1,L-B5D1601B,8.0,Available,spot
inf1.xlarge,inf1,us-east-1,L-B5D1601B,8.0,Available,spot
inf1.xlarge,inf1,us-east-2,L-B5D1601B,8.0,Available,spot
inf1.xlarge,inf1,us-west-1,L-B5D1601B,8.0,Available,spot
inf1.xlarge,inf1,us-west-2,L-B5D1601B,8.0,Available,spot
inf1.6xlarge,inf1,ca-central-1,L-B5D1601B,8.0,Available,spot
inf1.6xlarge,inf1,us-east-1,L-B5D1601B,8.0,Available,spot
inf1.6xlarge,inf1,us-east-2,L-B5D1601B,8.0,Available,spot
inf1.6xlarge,inf1,us-west-1,L-B5D1601B,8.0,Available,spot
inf1.6xlarge,inf1,us-west-2,L-B5D1601B,8.0,Available,spot
inf1.24xlarge,inf1,ca-central-1,L-B5D1601B,8.0,Available,spot
inf1.24xlarge,inf1,us-east-1,L-B5D1601B,8.0,Available,spot
inf1.24xlarge,inf1,us-east-2,L-B5D1601B,8.0,Available,spot
inf1.24xlarge,inf1,us-west-1,L-B5D1601B,8.0,Available,spot
inf1.24xlarge,inf1,us-west-2,L-B5D1601B,8.0,Available,spot
inf2.8xlarge,inf2,us-east-1,L-B5D1601B,8.0,Available,spot
inf2.8xlarge,inf2,us-east-2,L-B5D1601B,8.0,Available,spot
inf2.8xlarge,inf2,us-west-2,L-B5D1601B,8.0,Available,spot
inf2.xlarge,inf2,us-east-1,L-B5D1601B,8.0,Available,spot
inf2.xlarge,inf2,us-east-2,L-B5D1601B,8.0,Available,spot
inf2.xlarge,inf2,us-west-2,L-B5D1601B,8.0,Available,spot
inf2.24xlarge,inf2,us-east-1,L-B5D1601B,8.0,Available,spot
inf2.24xlarge,inf2,us-east-2,L-B5D1601B,8.0,Available,spot
inf2.24xlarge,inf2,us-west-2,L-B5D1601B,8.0,Available,spot
inf2.48xlarge,inf2,us-east-1,L-B5D1601B,8.0,Available,spot
inf2.48xlarge,inf2,us-east-2,L-B5D1601B,8.0,Available,spot
inf2.48xlarge,inf2,us-west-2,L-B5D1601B,8.0,Available,spot
g6f.large,g6f,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6f.large,g6f,us-east-1,L-3819A6DF,256.0,Available,spot
g6f.xlarge,g6f,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6f.xlarge,g6f,us-east-1,L-3819A6DF,256.0,Available,spot
g6f.2xlarge,g6f,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6f.2xlarge,g6f,us-east-1,L-3819A6DF,256.0,Available,spot
g6f.4xlarge,g6f,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6f.4xlarge,g6f,us-east-1,L-3819A6DF,256.0,Available,spot
gr6f.4xlarge,gr6f,ap-northeast-1,L-3819A6DF,8.0,Available,spot
gr6f.4xlarge,gr6f,us-east-1,L-3819A6DF,256.0,Available,spot
g6.16xlarge,g6,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6.16xlarge,g6,us-east-1,L-3819A6DF,256.0,Available,spot
g6.2xlarge,g6,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6.2xlarge,g6,us-east-1,L-3819A6DF,256.0,Available,spot
g6.4xlarge,g6,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6.4xlarge,g6,us-east-1,L-3819A6DF,256.0,Available,spot
g6.8xlarge,g6,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6.8xlarge,g6,us-east-1,L-3819A6DF,256.0,Available,spot
g6.xlarge,g6,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6.xlarge,g6,us-east-1,L-3819A6DF,256.0,Available,spot
gr6.4xlarge,gr6,ap-northeast-1,L-3819A6DF,8.0,Available,spot
gr6.4xlarge,gr6,us-east-1,L-3819A6DF,256.0,Available,spot
gr6.8xlarge,gr6,ap-northeast-1,L-3819A6DF,8.0,Available,spot
gr6.8xlarge,gr6,us-east-1,L-3819A6DF,256.0,Available,spot
g6.12xlarge,g6,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6.12xlarge,g6,us-east-1,L-3819A6DF,256.0,Available,spot
g6.24xlarge,g6,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6.24xlarge,g6,us-east-1,L-3819A6DF,256.0,Available,spot
g6.48xlarge,g6,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6.48xlarge,g6,us-east-1,L-3819A6DF,256.0,Available,spot
g6e.16xlarge,g6e,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6e.16xlarge,g6e,us-east-1,L-3819A6DF,256.0,Available,spot
g6e.2xlarge,g6e,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6e.2xlarge,g6e,us-east-1,L-3819A6DF,256.0,Available,spot
g6e.4xlarge,g6e,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6e.4xlarge,g6e,us-east-1,L-3819A6DF,256.0,Available,spot
g6e.8xlarge,g6e,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6e.8xlarge,g6e,us-east-1,L-3819A6DF,256.0,Available,spot
g6e.xlarge,g6e,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6e.xlarge,g6e,us-east-1,L-3819A6DF,256.0,Available,spot
g6e.12xlarge,g6e,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6e.12xlarge,g6e,us-east-1,L-3819A6DF,256.0,Available,spot
g6e.24xlarge,g6e,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6e.24xlarge,g6e,us-east-1,L-3819A6DF,256.0,Available,spot
g6e.48xlarge,g6e,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g6e.48xlarge,g6e,us-east-1,L-3819A6DF,256.0,Available,spot
g4ad.2xlarge,g4ad,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g4ad.2xlarge,g4ad,us-east-1,L-3819A6DF,256.0,Available,spot
g4ad.4xlarge,g4ad,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g4ad.4xlarge,g4ad,us-east-1,L-3819A6DF,256.0,Available,spot
g4ad.xlarge,g4ad,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g4ad.xlarge,g4ad,us-east-1,L-3819A6DF,256.0,Available,spot
g4ad.8xlarge,g4ad,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g4ad.8xlarge,g4ad,us-east-1,L-3819A6DF,256.0,Available,spot
g4ad.16xlarge,g4ad,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g4ad.16xlarge,g4ad,us-east-1,L-3819A6DF,256.0,Available,spot
g4dn.16xlarge,g4dn,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g4dn.16xlarge,g4dn,us-east-1,L-3819A6DF,256.0,Available,spot
g4dn.16xlarge,g4dn,us-west-1,L-3819A6DF,1000.0,Available,spot
g4dn.2xlarge,g4dn,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g4dn.2xlarge,g4dn,us-east-1,L-3819A6DF,256.0,Available,spot
g4dn.2xlarge,g4dn,us-west-1,L-3819A6DF,1000.0,Available,spot
g4dn.4xlarge,g4dn,ap-northeast-1,L-3819A6DF,8.0,Available,spot
g4dn.4xlarge,g4dn,us-east-1,L-3819A6DF,256.0,Available,spot
g4dn.4xlarge,g4dn,us-west-1,L-3819A6DF,1000.0,Available,spot
