tensor_degree,pipeline_degree,max_input_length,max_output_length,model
1,0,4096,1024,meta-llama/Llama-3.3-70B-Instruct
1,0,4096,4096,meta-llama/Llama-3.3-70B-Instruct
1,0,4096,32768,meta-llama/Llama-3.3-70B-Instruct
1,0,10000,1024,meta-llama/Llama-3.3-70B-Instruct
1,0,10000,4096,meta-llama/Llama-3.3-70B-Instruct
1,0,10000,32768,meta-llama/Llama-3.3-70B-Instruct
1,0,32000,1024,meta-llama/Llama-3.3-70B-Instruct
1,0,32000,4096,meta-llama/Llama-3.3-70B-Instruct
1,0,32000,32768,meta-llama/Llama-3.3-70B-Instruct
1,1,4096,1024,meta-llama/Llama-3.3-70B-Instruct
1,1,4096,4096,meta-llama/Llama-3.3-70B-Instruct
1,1,4096,32768,meta-llama/Llama-3.3-70B-Instruct
1,1,10000,1024,meta-llama/Llama-3.3-70B-Instruct
1,1,10000,4096,meta-llama/Llama-3.3-70B-Instruct
1,1,10000,32768,meta-llama/Llama-3.3-70B-Instruct
1,1,32000,1024,meta-llama/Llama-3.3-70B-Instruct
1,1,32000,4096,meta-llama/Llama-3.3-70B-Instruct
1,1,32000,32768,meta-llama/Llama-3.3-70B-Instruct
1,2,4096,1024,meta-llama/Llama-3.3-70B-Instruct
1,2,4096,4096,meta-llama/Llama-3.3-70B-Instruct
1,2,4096,32768,meta-llama/Llama-3.3-70B-Instruct
1,2,10000,1024,meta-llama/Llama-3.3-70B-Instruct
1,2,10000,4096,meta-llama/Llama-3.3-70B-Instruct
1,2,10000,32768,meta-llama/Llama-3.3-70B-Instruct
1,2,32000,1024,meta-llama/Llama-3.3-70B-Instruct
1,2,32000,4096,meta-llama/Llama-3.3-70B-Instruct
1,2,32000,32768,meta-llama/Llama-3.3-70B-Instruct
1,3,4096,1024,meta-llama/Llama-3.3-70B-Instruct
1,3,4096,4096,meta-llama/Llama-3.3-70B-Instruct
1,3,4096,32768,meta-llama/Llama-3.3-70B-Instruct
1,3,10000,1024,meta-llama/Llama-3.3-70B-Instruct
1,3,10000,4096,meta-llama/Llama-3.3-70B-Instruct
1,3,10000,32768,meta-llama/Llama-3.3-70B-Instruct
1,3,32000,1024,meta-llama/Llama-3.3-70B-Instruct
1,3,32000,4096,meta-llama/Llama-3.3-70B-Instruct
1,3,32000,32768,meta-llama/Llama-3.3-70B-Instruct
1,4,4096,1024,meta-llama/Llama-3.3-70B-Instruct
1,4,4096,4096,meta-llama/Llama-3.3-70B-Instruct
1,4,4096,32768,meta-llama/Llama-3.3-70B-Instruct
1,4,10000,1024,meta-llama/Llama-3.3-70B-Instruct
1,4,10000,4096,meta-llama/Llama-3.3-70B-Instruct
1,4,10000,32768,meta-llama/Llama-3.3-70B-Instruct
1,4,32000,1024,meta-llama/Llama-3.3-70B-Instruct
1,4,32000,4096,meta-llama/Llama-3.3-70B-Instruct
1,4,32000,32768,meta-llama/Llama-3.3-70B-Instruct
2,0,4096,1024,meta-llama/Llama-3.3-70B-Instruct
