tensor_degree,pipeline_degree,max_input_length,max_output_length,model
1,1,4096,1024,Qwen/Qwen3-0.6B
1,1,4096,4096,Qwen/Qwen3-0.6B
1,1,4096,7000,Qwen/Qwen3-0.6B
1,1,10000,1024,Qwen/Qwen3-0.6B
1,1,10000,4096,Qwen/Qwen3-0.6B
1,1,10000,7000,Qwen/Qwen3-0.6B
1,1,30000,1024,Qwen/Qwen3-0.6B
1,1,30000,4096,Qwen/Qwen3-0.6B
1,1,30000,7000,Qwen/Qwen3-0.6B
1,2,4096,1024,Qwen/Qwen3-0.6B
1,2,4096,4096,Qwen/Qwen3-0.6B
1,2,4096,7000,Qwen/Qwen3-0.6B
1,2,10000,1024,Qwen/Qwen3-0.6B
1,2,10000,4096,Qwen/Qwen3-0.6B
1,2,10000,7000,Qwen/Qwen3-0.6B
1,2,30000,1024,Qwen/Qwen3-0.6B
1,2,30000,4096,Qwen/Qwen3-0.6B
1,2,30000,7000,Qwen/Qwen3-0.6B
1,3,4096,1024,Qwen/Qwen3-0.6B
1,3,4096,4096,Qwen/Qwen3-0.6B
1,3,4096,7000,Qwen/Qwen3-0.6B
1,3,10000,1024,Qwen/Qwen3-0.6B
1,3,10000,4096,Qwen/Qwen3-0.6B
1,3,10000,7000,Qwen/Qwen3-0.6B
1,3,30000,1024,Qwen/Qwen3-0.6B
1,3,30000,4096,Qwen/Qwen3-0.6B
1,3,30000,7000,Qwen/Qwen3-0.6B
1,4,4096,1024,Qwen/Qwen3-0.6B
1,4,4096,4096,Qwen/Qwen3-0.6B
1,4,4096,7000,Qwen/Qwen3-0.6B
1,4,10000,1024,Qwen/Qwen3-0.6B
1,4,10000,4096,Qwen/Qwen3-0.6B
1,4,10000,7000,Qwen/Qwen3-0.6B
1,4,30000,1024,Qwen/Qwen3-0.6B
1,4,30000,4096,Qwen/Qwen3-0.6B
1,4,30000,7000,Qwen/Qwen3-0.6B
4,1,4096,1024,Qwen/Qwen3-0.6B
4,1,4096,4096,Qwen/Qwen3-0.6B
4,1,4096,7000,Qwen/Qwen3-0.6B
4,1,10000,1024,Qwen/Qwen3-0.6B
4,1,10000,4096,Qwen/Qwen3-0.6B
4,1,10000,7000,Qwen/Qwen3-0.6B
4,1,30000,1024,Qwen/Qwen3-0.6B
4,1,30000,4096,Qwen/Qwen3-0.6B
4,1,30000,7000,Qwen/Qwen3-0.6B
4,2,4096,1024,Qwen/Qwen3-0.6B
4,2,4096,4096,Qwen/Qwen3-0.6B
4,2,4096,7000,Qwen/Qwen3-0.6B
4,2,10000,1024,Qwen/Qwen3-0.6B
4,2,10000,4096,Qwen/Qwen3-0.6B
4,2,10000,7000,Qwen/Qwen3-0.6B
4,2,30000,1024,Qwen/Qwen3-0.6B
4,2,30000,4096,Qwen/Qwen3-0.6B
4,2,30000,7000,Qwen/Qwen3-0.6B
4,3,4096,1024,Qwen/Qwen3-0.6B
4,3,4096,4096,Qwen/Qwen3-0.6B
4,3,4096,7000,Qwen/Qwen3-0.6B
4,3,10000,1024,Qwen/Qwen3-0.6B
4,3,10000,4096,Qwen/Qwen3-0.6B
4,3,10000,7000,Qwen/Qwen3-0.6B
4,3,30000,1024,Qwen/Qwen3-0.6B
4,3,30000,4096,Qwen/Qwen3-0.6B
4,3,30000,7000,Qwen/Qwen3-0.6B
4,4,4096,1024,Qwen/Qwen3-0.6B
4,4,4096,4096,Qwen/Qwen3-0.6B
4,4,4096,7000,Qwen/Qwen3-0.6B
4,4,10000,1024,Qwen/Qwen3-0.6B
4,4,10000,4096,Qwen/Qwen3-0.6B
4,4,10000,7000,Qwen/Qwen3-0.6B
4,4,30000,1024,Qwen/Qwen3-0.6B
4,4,30000,4096,Qwen/Qwen3-0.6B
4,4,30000,7000,Qwen/Qwen3-0.6B
8,1,4096,1024,Qwen/Qwen3-0.6B
8,1,4096,4096,Qwen/Qwen3-0.6B
8,1,4096,7000,Qwen/Qwen3-0.6B
8,1,10000,1024,Qwen/Qwen3-0.6B
8,1,10000,4096,Qwen/Qwen3-0.6B
8,1,10000,7000,Qwen/Qwen3-0.6B
8,1,30000,1024,Qwen/Qwen3-0.6B
8,1,30000,4096,Qwen/Qwen3-0.6B
8,1,30000,7000,Qwen/Qwen3-0.6B
8,2,4096,1024,Qwen/Qwen3-0.6B
8,2,4096,4096,Qwen/Qwen3-0.6B
8,2,4096,7000,Qwen/Qwen3-0.6B
8,2,10000,1024,Qwen/Qwen3-0.6B
8,2,10000,4096,Qwen/Qwen3-0.6B
8,2,10000,7000,Qwen/Qwen3-0.6B
8,2,30000,1024,Qwen/Qwen3-0.6B
8,2,30000,4096,Qwen/Qwen3-0.6B
8,2,30000,7000,Qwen/Qwen3-0.6B
8,3,4096,1024,Qwen/Qwen3-0.6B
8,3,4096,4096,Qwen/Qwen3-0.6B
8,3,4096,7000,Qwen/Qwen3-0.6B
8,3,10000,1024,Qwen/Qwen3-0.6B
8,3,10000,4096,Qwen/Qwen3-0.6B
8,3,10000,7000,Qwen/Qwen3-0.6B
8,3,30000,1024,Qwen/Qwen3-0.6B
8,3,30000,4096,Qwen/Qwen3-0.6B
8,3,30000,7000,Qwen/Qwen3-0.6B
