tensor_degree,pipeline_degree,max_input_length,max_output_length,model
1,2,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
1,3,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
1,4,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
2,1,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
2,2,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
2,3,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
2,4,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
4,1,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
4,2,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
4,3,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
4,4,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
8,1,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
8,2,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
8,3,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
8,4,8192,2048,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
