tp,pp,max_input_length,max_output_length,model,status,error,exp_id,elapsed_time,total_prompt_tokens,total_output_tokens,requests_per_sec,input_tokens_per_sec,output_tokens_per_sec,total_tokens_per_sec,timeseries_file,instance_type,price_per_hour,num_nodes,gpus_per_node,total_gpus,cost_for_run_usd,tokens_per_dollar,input_tokens_per_dollar,output_tokens_per_dollar,benchmark_num_requests,benchmark_target_concurrency,num_preemptions,gpu_monitor_type,gpu_monitor_num_nodes,gpu_monitor_num_nodes_reported,node0_gpu0_mem_gb_avg,node0_gpu0_mem_gb_max,node0_gpu0_mem_gb_min,node0_gpu0_mem_pct_avg,node0_gpu0_mem_pct_max,node0_gpu0_mem_pct_min,node0_gpu0_sm_pct_avg,node0_gpu0_sm_pct_max,node0_gpu0_sm_pct_min,node0_gpu0_membw_pct_avg,node0_gpu0_membw_pct_max,node0_gpu0_membw_pct_min,node0_gpu1_mem_gb_avg,node0_gpu1_mem_gb_max,node0_gpu1_mem_gb_min,node0_gpu1_mem_pct_avg,node0_gpu1_mem_pct_max,node0_gpu1_mem_pct_min,node0_gpu1_sm_pct_avg,node0_gpu1_sm_pct_max,node0_gpu1_sm_pct_min,node0_gpu1_membw_pct_avg,node0_gpu1_membw_pct_max,node0_gpu1_membw_pct_min,node0_gpu2_mem_gb_avg,node0_gpu2_mem_gb_max,node0_gpu2_mem_gb_min,node0_gpu2_mem_pct_avg,node0_gpu2_mem_pct_max,node0_gpu2_mem_pct_min,node0_gpu2_sm_pct_avg,node0_gpu2_sm_pct_max,node0_gpu2_sm_pct_min,node0_gpu2_membw_pct_avg,node0_gpu2_membw_pct_max,node0_gpu2_membw_pct_min,node0_gpu3_mem_gb_avg,node0_gpu3_mem_gb_max,node0_gpu3_mem_gb_min,node0_gpu3_mem_pct_avg,node0_gpu3_mem_pct_max,node0_gpu3_mem_pct_min,node0_gpu3_sm_pct_avg,node0_gpu3_sm_pct_max,node0_gpu3_sm_pct_min,node0_gpu3_membw_pct_avg,node0_gpu3_membw_pct_max,node0_gpu3_membw_pct_min,node0_gpu4_mem_gb_avg,node0_gpu4_mem_gb_max,node0_gpu4_mem_gb_min,node0_gpu4_mem_pct_avg,node0_gpu4_mem_pct_max,node0_gpu4_mem_pct_min,node0_gpu4_sm_pct_avg,node0_gpu4_sm_pct_max,node0_gpu4_sm_pct_min,node0_gpu4_membw_pct_avg,node0_gpu4_membw_pct_max,node0_gpu4_membw_pct_min,node0_gpu5_mem_gb_avg,node0_gpu5_mem_gb_max,node0_gpu5_mem_gb_min,node0_gpu5_mem_pct_avg,node0_gpu5_mem_pct_max,node0_gpu5_mem_pct_min,node0_gpu5_sm_pct_avg,node0_gpu5_sm_pct_max,node0_gpu5_sm_pct_min,node0_gpu5_membw_pct_avg,node0_gpu5_membw_pct_max,node0_gpu5_membw_pct_min,node0_gpu6_mem_gb_avg,node0_gpu6_mem_gb_max,node0_gpu6_mem_gb_min,node0_gpu6_mem_pct_avg,node0_gpu6_mem_pct_max,node0_gpu6_mem_pct_min,node0_gpu6_sm_pct_avg,node0_gpu6_sm_pct_max,node0_gpu6_sm_pct_min,node0_gpu6_membw_pct_avg,node0_gpu6_membw_pct_max,node0_gpu6_membw_pct_min,node0_gpu7_mem_gb_avg,node0_gpu7_mem_gb_max,node0_gpu7_mem_gb_min,node0_gpu7_mem_pct_avg,node0_gpu7_mem_pct_max,node0_gpu7_mem_pct_min,node0_gpu7_sm_pct_avg,node0_gpu7_sm_pct_max,node0_gpu7_sm_pct_min,node0_gpu7_membw_pct_avg,node0_gpu7_membw_pct_max,node0_gpu7_membw_pct_min,node1_gpu0_mem_gb_avg,node1_gpu0_mem_gb_max,node1_gpu0_mem_gb_min,node1_gpu0_mem_pct_avg,node1_gpu0_mem_pct_max,node1_gpu0_mem_pct_min,node1_gpu0_sm_pct_avg,node1_gpu0_sm_pct_max,node1_gpu0_sm_pct_min,node1_gpu0_membw_pct_avg,node1_gpu0_membw_pct_max,node1_gpu0_membw_pct_min,node1_gpu1_mem_gb_avg,node1_gpu1_mem_gb_max,node1_gpu1_mem_gb_min,node1_gpu1_mem_pct_avg,node1_gpu1_mem_pct_max,node1_gpu1_mem_pct_min,node1_gpu1_sm_pct_avg,node1_gpu1_sm_pct_max,node1_gpu1_sm_pct_min,node1_gpu1_membw_pct_avg,node1_gpu1_membw_pct_max,node1_gpu1_membw_pct_min,node1_gpu2_mem_gb_avg,node1_gpu2_mem_gb_max,node1_gpu2_mem_gb_min,node1_gpu2_mem_pct_avg,node1_gpu2_mem_pct_max,node1_gpu2_mem_pct_min,node1_gpu2_sm_pct_avg,node1_gpu2_sm_pct_max,node1_gpu2_sm_pct_min,node1_gpu2_membw_pct_avg,node1_gpu2_membw_pct_max,node1_gpu2_membw_pct_min,node1_gpu3_mem_gb_avg,node1_gpu3_mem_gb_max,node1_gpu3_mem_gb_min,node1_gpu3_mem_pct_avg,node1_gpu3_mem_pct_max,node1_gpu3_mem_pct_min,node1_gpu3_sm_pct_avg,node1_gpu3_sm_pct_max,node1_gpu3_sm_pct_min,node1_gpu3_membw_pct_avg,node1_gpu3_membw_pct_max,node1_gpu3_membw_pct_min,node1_gpu4_mem_gb_avg,node1_gpu4_mem_gb_max,node1_gpu4_mem_gb_min,node1_gpu4_mem_pct_avg,node1_gpu4_mem_pct_max,node1_gpu4_mem_pct_min,node1_gpu4_sm_pct_avg,node1_gpu4_sm_pct_max,node1_gpu4_sm_pct_min,node1_gpu4_membw_pct_avg,node1_gpu4_membw_pct_max,node1_gpu4_membw_pct_min,node1_gpu5_mem_gb_avg,node1_gpu5_mem_gb_max,node1_gpu5_mem_gb_min,node1_gpu5_mem_pct_avg,node1_gpu5_mem_pct_max,node1_gpu5_mem_pct_min,node1_gpu5_sm_pct_avg,node1_gpu5_sm_pct_max,node1_gpu5_sm_pct_min,node1_gpu5_membw_pct_avg,node1_gpu5_membw_pct_max,node1_gpu5_membw_pct_min,node1_gpu6_mem_gb_avg,node1_gpu6_mem_gb_max,node1_gpu6_mem_gb_min,node1_gpu6_mem_pct_avg,node1_gpu6_mem_pct_max,node1_gpu6_mem_pct_min,node1_gpu6_sm_pct_avg,node1_gpu6_sm_pct_max,node1_gpu6_sm_pct_min,node1_gpu6_membw_pct_avg,node1_gpu6_membw_pct_max,node1_gpu6_membw_pct_min,node1_gpu7_mem_gb_avg,node1_gpu7_mem_gb_max,node1_gpu7_mem_gb_min,node1_gpu7_mem_pct_avg,node1_gpu7_mem_pct_max,node1_gpu7_mem_pct_min,node1_gpu7_sm_pct_avg,node1_gpu7_sm_pct_max,node1_gpu7_sm_pct_min,node1_gpu7_membw_pct_avg,node1_gpu7_membw_pct_max,node1_gpu7_membw_pct_min,avg_sm_util_pct,max_sm_util_pct,avg_mem_bw_util_pct,max_mem_bw_util_pct,avg_mem_util_pct,max_mem_util_pct,gpu_samples,num_nodes_monitored,swapped_avg,swapped_max,waiting_avg,waiting_max,running_avg,running_max,kv_cache_util_pct_avg,kv_cache_util_pct_max,scheduler_samples,scheduler_active_samples,data_source,data_source_type,precision,cloud,region,task_type,request_pattern,is_lmcache,is_continuous_batching,kv_offload_target,cuda_graphs,spec_decode,model_name,price_per_instance_hour_usd,gpu_model,gpu_mem_gb,interconnect,gpu_bandwidth_gbps,gpu_tflops_fp16,gpu_generation,runtime_stack,model_architecture,params_billion,model_config_json,vocab_size,is_moe,num_experts_active,tokens_per_sec_total,tokens_per_sec_prefill,tokens_per_sec_decode,total_cost_usd,max_num_seqs,batch_size,gpu_count_total,tokens_per_sec_per_gpu,input_len_tokens_min,input_len_tokens_max,input_len_tokens_avg,input_len_tokens_fixed,output_len_tokens_min,output_len_tokens_max,output_len_tokens_avg,output_len_tokens_fixed,prefill_decode_ratio,num_requests,model_size_gb,params_per_gpu,model_fits_single_gpu,vram_headroom_gb,attention_heads_per_kv_head,bandwidth_per_param,flops_per_param,kv_heads_per_tp,crosses_node_boundary,price_per_gpu_hour_usd,cost_per_1m_tokens_total_usd,cost_per_1m_tokens_prefill_usd,cost_per_1m_tokens_decode_usd,dp,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,e2e_ms_p50,e2e_ms_p95,e2e_ms_p99,node2_gpu0_mem_gb_avg,node2_gpu0_mem_gb_max,node2_gpu0_mem_gb_min,node2_gpu0_mem_pct_avg,node2_gpu0_mem_pct_max,node2_gpu0_mem_pct_min,node2_gpu0_sm_pct_avg,node2_gpu0_sm_pct_max,node2_gpu0_sm_pct_min,node2_gpu0_membw_pct_avg,node2_gpu0_membw_pct_max,node2_gpu0_membw_pct_min,node2_gpu1_mem_gb_avg,node2_gpu1_mem_gb_max,node2_gpu1_mem_gb_min,node2_gpu1_mem_pct_avg,node2_gpu1_mem_pct_max,node2_gpu1_mem_pct_min,node2_gpu1_sm_pct_avg,node2_gpu1_sm_pct_max,node2_gpu1_sm_pct_min,node2_gpu1_membw_pct_avg,node2_gpu1_membw_pct_max,node2_gpu1_membw_pct_min,node2_gpu2_mem_gb_avg,node2_gpu2_mem_gb_max,node2_gpu2_mem_gb_min,node2_gpu2_mem_pct_avg,node2_gpu2_mem_pct_max,node2_gpu2_mem_pct_min,node2_gpu2_sm_pct_avg,node2_gpu2_sm_pct_max,node2_gpu2_sm_pct_min,node2_gpu2_membw_pct_avg,node2_gpu2_membw_pct_max,node2_gpu2_membw_pct_min,node2_gpu3_mem_gb_avg,node2_gpu3_mem_gb_max,node2_gpu3_mem_gb_min,node2_gpu3_mem_pct_avg,node2_gpu3_mem_pct_max,node2_gpu3_mem_pct_min,node2_gpu3_sm_pct_avg,node2_gpu3_sm_pct_max,node2_gpu3_sm_pct_min,node2_gpu3_membw_pct_avg,node2_gpu3_membw_pct_max,node2_gpu3_membw_pct_min,node2_gpu4_mem_gb_avg,node2_gpu4_mem_gb_max,node2_gpu4_mem_gb_min,node2_gpu4_mem_pct_avg,node2_gpu4_mem_pct_max,node2_gpu4_mem_pct_min,node2_gpu4_sm_pct_avg,node2_gpu4_sm_pct_max,node2_gpu4_sm_pct_min,node2_gpu4_membw_pct_avg,node2_gpu4_membw_pct_max,node2_gpu4_membw_pct_min,node2_gpu5_mem_gb_avg,node2_gpu5_mem_gb_max,node2_gpu5_mem_gb_min,node2_gpu5_mem_pct_avg,node2_gpu5_mem_pct_max,node2_gpu5_mem_pct_min,node2_gpu5_sm_pct_avg,node2_gpu5_sm_pct_max,node2_gpu5_sm_pct_min,node2_gpu5_membw_pct_avg,node2_gpu5_membw_pct_max,node2_gpu5_membw_pct_min,node2_gpu6_mem_gb_avg,node2_gpu6_mem_gb_max,node2_gpu6_mem_gb_min,node2_gpu6_mem_pct_avg,node2_gpu6_mem_pct_max,node2_gpu6_mem_pct_min,node2_gpu6_sm_pct_avg,node2_gpu6_sm_pct_max,node2_gpu6_sm_pct_min,node2_gpu6_membw_pct_avg,node2_gpu6_membw_pct_max,node2_gpu6_membw_pct_min,node2_gpu7_mem_gb_avg,node2_gpu7_mem_gb_max,node2_gpu7_mem_gb_min,node2_gpu7_mem_pct_avg,node2_gpu7_mem_pct_max,node2_gpu7_mem_pct_min,node2_gpu7_sm_pct_avg,node2_gpu7_sm_pct_max,node2_gpu7_sm_pct_min,node2_gpu7_membw_pct_avg,node2_gpu7_membw_pct_max,node2_gpu7_membw_pct_min
4,3,128,128,Qwen/Qwen3-235B-A22B,cluster_error,Command 'sky launch (watchdog timeout)' died with <Signals.SIGKILL: 9>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,128,2048,Qwen/Qwen3-235B-A22B,cluster_error,Command 'sky launch (watchdog timeout)' died with <Signals.SIGKILL: 9>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,512,1024,Qwen/Qwen3-235B-A22B,cluster_error,Command 'sky launch (watchdog timeout)' died with <Signals.SIGKILL: 9>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,1024,512,Qwen/Qwen3-235B-A22B,cluster_error,Command 'sky launch (watchdog timeout)' died with <Signals.SIGKILL: 9>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,4096,1024,Qwen/Qwen3-235B-A22B,cluster_error,Command 'sky launch (watchdog timeout)' died with <Signals.SIGKILL: 9>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,8192,256,Qwen/Qwen3-235B-A22B,cluster_error,Command 'sky launch (watchdog timeout)' died with <Signals.SIGKILL: 9>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,16384,2048,Qwen/Qwen3-235B-A22B,cluster_error,Command 'sky launch (watchdog timeout)' died with <Signals.SIGKILL: 9>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,128,128,Qwen/Qwen3-235B-A22B,cluster_error,Command 'sky launch (watchdog timeout)' died with <Signals.SIGKILL: 9>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,128,2048,Qwen/Qwen3-235B-A22B,cluster_error,Command 'sky launch (watchdog timeout)' died with <Signals.SIGKILL: 9>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,512,1024,Qwen/Qwen3-235B-A22B,cluster_error,Command 'sky launch (watchdog timeout)' died with <Signals.SIGKILL: 9>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1024,512,Qwen/Qwen3-235B-A22B,cluster_error,Command 'sky launch (watchdog timeout)' died with <Signals.SIGKILL: 9>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4096,1024,Qwen/Qwen3-235B-A22B,cluster_error,Command 'sky launch (watchdog timeout)' died with <Signals.SIGKILL: 9>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
